2026-02-13T16:49:21.493+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=sp2f4jti
2026-02-13T16:49:21.515+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:26.534+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=sp6bfpgw
2026-02-13T16:49:26.537+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:26.538+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:26.541+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=sp6bfpgw
2026-02-13T16:49:26.541+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=sp6bfpgw
2026-02-13T16:49:26.547+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:31.569+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=spa7gayi
2026-02-13T16:49:31.571+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:31.572+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:31.573+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=spa7gayi
2026-02-13T16:49:31.574+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=spa7gayi
2026-02-13T16:49:31.581+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:36.602+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=spe37e3x
2026-02-13T16:49:36.604+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:36.605+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:36.607+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=spe37e3x
2026-02-13T16:49:36.609+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=spe37e3x
2026-02-13T16:49:36.616+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
